query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
3,0.11684092799987411,6964348059.323456,66279619452.420746,99223352150.19856,3332321944200.0,3051,0.02768610165396969
3,0.11684092799987411,6929304720.217758,65614431469.052505,99044975238.37738,3330694393200.0,3059,0.027656596386094287
3,0.11684092799987411,6979504004.652695,66567017556.157166,98384658115.17978,3329519359500.0,3098,0.027452957691843416
3,0.11684092799987411,7011509806.121086,67180950542.450554,97899766517.7818,3314180937900.0,3100,0.02742404787629103
3,0.11684092799987411,6962527566.261673,66240287218.46712,94773770558.36975,3121771565700.0,2935,0.028128657444676936
3,0.11684092799987411,6994659307.38295,66854806570.15988,101740619427.1482,3458626710300.0,3126,0.027394098310062207
3,0.11684092799987411,7105100228.313141,68986153639.24088,99640433397.2067,3431385715500.0,3208,0.026967336476018955
3,0.11684092799987411,7099945671.921631,68887943658.02008,100644346602.06395,3509996667300.0,3290,0.02665085178046611
3,0.11684092799987411,6962398220.833664,66238723577.40202,100334137827.16882,3396590544600.0,3100,0.027489842646703563
3,0.11684092799987411,6986674943.035439,66705927957.26359,102798680738.29909,3491806529400.0,3121,0.027439093486009116
3,0.11684092799987411,7165795952.198517,70171169185.47754,102656753973.28362,3566553818700.0,3265,0.026774012919813815
3,0.11684092799987411,6921944260.795555,65473957426.88102,100041621467.5297,3361458738000.0,3054,0.027702162800349723
3,0.11684092799987411,7009155542.064735,67134972833.970314,100858372406.5129,3401647386000.0,3077,0.02758934310790088
3,0.11684092799987411,7134718933.09819,69560168026.1812,98234916980.3525,3340519675500.0,3128,0.027271265221217016
3,0.11684092799987411,6961622149.16951,66229341731.011536,96221738593.97214,3152671505400.0,2904,0.028312533130050166
3,0.11684092799987411,7102491720.160828,68936657738.3642,101654678783.14273,3429617280900.0,3079,0.02756931147669326
3,0.11684092799987411,7070897717.849709,68322724752.07084,104971709611.94598,3639144789900.0,3251,0.026902148044729624
3,0.11684092799987411,6785338310.676857,62912979115.693886,93080922673.7335,2997839695800.0,2806,0.028785923571549712
3,0.11684092799987411,7076057536.8574295,68420739278.15853,101456688809.37363,3543164366100.0,3299,0.02663738441702664
3,0.11684092799987411,7095533012.001556,68798920068.05663,103729944343.2809,3495096674400.0,3071,0.02764856607231572
3,0.11684092799987411,6924409453.243355,65520912411.026924,98595408516.12373,3255395685300.0,2949,0.028159710193396185
3,0.11684092799987411,6904108979.517311,65138627063.333,97567393558.52126,3311975918400.0,3117,0.0273743791660185
3,0.11684092799987411,7114812795.918381,69175341761.7565,101282214082.72375,3489561620700.0,3211,0.02698545305181215
3,0.11684092799987411,6843389052.91481,63998221039.64465,99453661190.12798,3323594429700.0,3021,0.02786449252340711
3,0.11684092799987411,6874037113.1675415,64571062695.78613,97805924373.37589,3259310611200.0,3004,0.027899116748105638
3,0.11684092799987411,6979342726.569801,66565063004.82583,96460165574.76971,3162663488700.0,2908,0.028292868706363904
3,0.11684092799987411,6956733438.97596,66135627217.85284,96283622607.23561,3165551324100.0,2924,0.028218430226733485
3,0.11684092799987411,6891051920.735321,64895643027.011734,97838621424.41628,3242978784000.0,2972,0.02804445405328959
3,0.11684092799987411,6966943658.276184,66328333532.76489,97673862310.37971,3210712734000.0,2923,0.028251334257206558
3,0.11684092799987411,6999473276.1688385,66947934717.919174,100576162659.5543,3429961148700.0,3146,0.02728214266183518
3,0.11684092799987411,6873873367.699951,64569108144.4548,100373177625.57677,3391885701600.0,3089,0.027565582240513555
3,0.11684092799987411,7019113120.516457,67325529142.41787,98507820704.9019,3307758321900.0,3050,0.027658824702716998
3,0.11684092799987411,6969586744.771133,66377633978.50844,99533530989.4935,3339998937900.0,3046,0.02771376457470411
3,0.11684092799987411,6894491437.621109,64954129864.01262,100133867839.57791,3417046373400.0,3150,0.027286541127383813
3,0.11684092799987411,6861710244.062935,64337460505.85537,96390240986.99582,3190126701900.0,2963,0.02806425546973128
3,0.11684092799987411,6961638317.313446,66229537186.14467,99816407052.02838,3341786918100.0,3032,0.027785963321535854
3,0.11684092799987411,6942046662.073822,65854483678.37674,101413266420.0089,3457414725600.0,3144,0.027324237112324016
3,0.11684092799987411,7041122492.20018,67750078551.062485,99211546990.4583,3309461220300.0,3010,0.027850583029313435
3,0.11684092799987411,7126812491.356094,69410312137.61923,97822909580.13159,3323835333900.0,3123,0.027286579501625864
3,0.11684092799987411,6876683164.852295,64619972231.26343,95462982550.39857,3104016982500.0,2860,0.028539244432289855
3,0.11684092799987411,6964348059.323456,66279619452.420746,97067480269.63805,3238472877900.0,3011,0.027822722501459486
3,0.11684092799987411,6929304720.217758,65614431469.052505,96514685063.34312,3196945607400.0,2968,0.028022178461767147
3,0.11684092799987411,6979504004.652695,66567017556.157166,97041665930.31245,3228992947200.0,2995,0.027891718377321503
