query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
7,0.4424155700035044,1814744255.3493767,5250823638.003102,26568172397.78295,255711128100.0,251,0.09680231097628783
7,0.4424155700035044,1797660096.0977898,5152432768.8497715,28833680065.812176,266806069200.0,232,0.101332102567157
7,0.4424155700035044,1844015709.643386,5421566041.087059,32848986429.71057,326741299200.0,268,0.09489149610404433
7,0.4424155700035044,1830436293.6765137,5342016756.138543,27551747050.041782,256569090300.0,235,0.10025101124336515
7,0.4424155700035044,1880596424.0900984,5638783144.609076,28301029225.738476,265782025500.0,239,0.09940639421324741
7,0.4424155700035044,1876102090.3071566,5611865858.215503,28095325483.29811,279928932900.0,269,0.0936638564701611
7,0.4424155700035044,1906361178.444519,5794334906.293895,28888656283.342136,281353705500.0,257,0.09590168736874026
7,0.4424155700035044,1853284130.1985884,5476198680.984235,28047410678.055283,272609170200.0,256,0.09608674032733142
7,0.4424155700035044,1805334876.5810003,5196518168.514988,26388073097.411606,242041382100.0,228,0.10156419537661615
7,0.4424155700035044,1875404354.3422022,5607692779.212149,28305149346.10961,271880800200.0,250,0.09721078124062182
7,0.4424155700035044,1830631892.29325,5343158415.886348,28079318508.77119,262626381000.0,237,0.0999468770674563
7,0.4424155700035044,1813398143.2021122,5243037361.208737,26390774779.797447,246284102400.0,236,0.09979278563696418
8,0.03759676600020612,1877431450.624648,5619822145.985032,29533286979.538338,283148298900.0,249,0.097672688256838
8,0.03759676600020612,1817585619.1030502,5267278910.94855,30084149173.961704,280786234200.0,236,0.1006693352877292
8,0.03759676600020612,1872684171.8121233,5591439725.087283,25691146080.51694,241760438100.0,240,0.0985209246636653
8,0.03759676600020612,1812989689.4732246,5240676978.867268,29521052656.866985,274336305900.0,234,0.10100035019606117
8,0.03759676600020612,1874864902.0897274,5604467440.668132,27849234451.868862,265339316400.0,246,0.09789114520300746
8,0.03759676600020612,1815100883.3250284,5252887438.514262,27446412033.58332,261521744100.0,246,0.09800833670051336
8,0.03759676600020612,1870124113.0865688,5576162567.3684635,28852273063.64371,276595396200.0,249,0.09755096910957603
8,0.03759676600020612,1810511236.598878,5226358189.30752,27032346988.446304,252775028100.0,237,0.09977977627548497
8,0.03759676600020612,1874864902.0897303,5604467440.668132,27742886412.499107,256149792600.0,231,0.10098786826192956
8,0.03759676600020612,1815100883.3250284,5252887438.514262,27417569594.191147,253678389000.0,232,0.10092491052072283
8,0.03759676600020612,1870124113.0865688,5576162567.3684635,28816516221.482456,287667658200.0,270,0.09367195560670744
8,0.03759676600020612,1810511236.598878,5226358189.307519,28579739607.671005,276718806000.0,254,0.09673801632069823
8,0.03759676600020612,1874864902.0897303,5604467440.668132,29606854405.08465,299361852900.0,277,0.09263701849232815
8,0.03759676600020612,1815100883.3250284,5252887438.514262,28579371112.188526,256344108300.0,218,0.10440758871485832
8,0.03759676600020612,1870124113.0865688,5576162567.3684635,28524249262.734188,294089851500.0,288,0.09063259073272585
8,0.03759676600020612,1810511236.598878,5226358189.307519,25985822639.784367,234132264000.0,220,0.10325493372919116
8,0.03759676600020612,1877431450.624648,5619822145.985031,28617415049.752144,274351644900.0,249,0.0974660954151527
8,0.03759676600020612,1817585619.1030464,5267278910.948548,25396105322.14695,224612365200.0,212,0.10497427281908121
8,0.03759676600020612,1872684171.8121176,5591439725.087283,28285414143.96078,282378764100.0,270,0.09353653082352542
8,0.03759676600020612,1812989689.4732342,5240676978.867267,28422989204.2947,265831846500.0,237,0.10010087152903054
8,0.03759676600020612,1874864902.0897303,5604467440.668132,28867009865.792835,279517557900.0,254,0.09656690322602131
8,0.03759676600020612,1815100883.3250284,5252887438.514262,28842740238.595695,280361842800.0,256,0.09640270261224959
8,0.03759676600020612,1870124113.0865688,5576162567.3684635,29310682788.181206,283212875700.0,253,0.09689022297193049
8,0.03759676600020612,1810511236.598878,5226358189.307519,26404800677.6387,239551116000.0,223,0.10266823153117692
9,0.05574976299976697,546400980.0715418,475995864.8238686,7991776522.916252,20963170500.0,19,0.35516457507440063
9,0.05574976299976697,528983693.7077311,446135645.462855,7710506766.589257,18583342200.0,16,0.38644948769664944
9,0.05574976299976697,545019351.5517321,473591889.2833488,8259266114.779025,24387266700.0,24,0.31632272932117045
9,0.05574976299976697,527646112.9912544,443882476.3521454,9052200933.897331,26762804700.0,24,0.3185224761179861
10,0.06642406799801392,25398542741.1344,1039015269949.3914,385209674421.8512,52185665694600.0,49410,0.006894826901057408
10,0.06642406799801392,25499705666.418213,1047185946095.4696,383721404579.56775,51482612196300.0,48466,0.006958110391665296
10,0.06642406799801392,25321254545.019287,1032793517297.1628,384001474721.9573,51570372893700.0,48560,0.006955160493337357
10,0.06642406799801392,25351417883.98987,1035219560722.3724,385329551703.5038,51881350836600.0,48808,0.0069384880696970064
10,0.06642406799801392,25378704455.04126,1037416569842.093,384532217923.4812,51779325759300.0,48818,0.0069362338771654045
10,0.06642406799801392,25363806594.97461,1036176430414.0105,386971869906.26746,52256729132100.0,49096,0.0069198372978374195
10,0.06642406799801392,25464831048.33618,1044324782308.3232,382933331765.39325,51338519585400.0,48394,0.006962968617013187
10,0.06642406799801392,25286624190.110962,1029971677085.9681,387962487647.26874,52395860915100.0,49106,0.006921841861608537
10,0.06642406799801392,25316746241.919067,1032391091977.229,385345327904.4609,51972063222900.0,48974,0.00692734825859108
10,0.06642406799801392,25343995463.39038,1034582098339.792,383971793531.9863,51472397303100.0,48384,0.006967380904308435
10,0.06642406799801392,25363806594.97461,1036176430414.01,387455120495.9405,52244819989800.0,48952,0.0069306643983395606
10,0.06642406799801392,25464831048.33618,1044324782308.323,386074570724.10645,52046372062500.0,48929,0.006928623944099913
10,0.06642406799801392,25286624190.110962,1029971677085.968,381990020072.89575,51098146384500.0,48180,0.006980750205666686
10,0.06642406799801392,25316746241.919067,1032391091977.2288,385195097314.57434,51725855271900.0,48551,0.006957417121107685
10,0.06642406799801392,25343995463.39038,1034582098339.7919,384048994078.93994,51441563421000.0,48307,0.006973057869176568
10,0.06642406799801392,25363806594.97461,1036176430414.01,386350950904.8192,51970120917900.0,48717,0.006946051653028005
10,0.06642406799801392,25464831048.33618,1044324782308.323,384271167846.13385,51521623045200.0,48401,0.006964189316843072
10,0.06642406799801392,25286624190.110962,1029971677085.968,385446369140.7627,51559960076700.0,48179,0.006985260353477432
10,0.06642406799801392,25316746241.919067,1032391091977.2288,385396675726.50775,51787725789300.0,48616,0.00695299752975416
10,0.06642406799801392,25343995463.39038,1034582098339.7919,385425753374.3458,51930618387000.0,48876,0.006933900829517103
10,0.06642406799801392,25398542741.127197,1039015269949.3914,386606168346.58057,52048950495600.0,48800,0.006939767702635778
10,0.06642406799801392,25499705666.40393,1047185946095.4696,386070464624.90186,51954882321300.0,48759,0.006940074596428723
10,0.06642406799801392,25321254545.019287,1032793517297.1628,383980769743.12897,51515276637300.0,48462,0.006962197208476596
10,0.06642406799801392,25351417883.98987,1035219560722.3724,384437426739.18384,51651350920200.0,48602,0.006952112625475616
10,0.06642406799801392,25378704455.04126,1037416569842.093,384621775922.2477,51709766844600.0,48665,0.006947296292145665
10,0.06642406799801392,25363806594.97461,1036176430414.01,387881231227.69653,52152823795500.0,48674,0.006951060330965275
10,0.06642406799801392,25464831048.33618,1044324782308.323,385021087993.0462,51756500459100.0,48652,0.0069470743530823794
10,0.06642406799801392,25286624190.110962,1029971677085.968,381903189465.87115,50992150770900.0,48003,0.006993558025782916
10,0.06642406799801392,25316746241.919067,1032391091977.2288,384306213536.313,51657201853500.0,48646,0.006949456308386375
10,0.06642406799801392,25343995463.39038,1034582098339.7919,381156052627.3476,51296698511100.0,48765,0.006936353946579305
10,0.06642406799801392,46412937684.525635,607511660571.5018,293651372446.6296,30103557818100.0,28353,0.0082129307192205
10,0.06642406799801392,46759428086.65747,612289050449.2635,297353672229.321,30760566392700.0,28870,0.008146606955915276
10,0.06642406799801392,46149089523.32739,603873805195.6086,295057896806.7189,30202783865700.0,28269,0.008241253799324985
10,0.06642406799801392,46251972155.08264,605292311460.622,297172888347.1958,30619879294200.0,28642,0.008194706248879382
10,0.06642406799801392,46345141429.70569,606576901492.3711,294909017377.82983,30388211940900.0,28645,0.008179615057033938
11,0.13084020499809412,7953521612.547623,103272853013.66075,121539126013.85822,5103740492700.0,4769,0.022255364386918722
11,0.13084020499809412,7969223280.712494,103680397969.2597,119197133526.77203,4978540082100.0,4718,0.022341471277086203
11,0.13084020499809412,7944794078.422302,103046670792.03432,121893226089.05263,5161389671400.0,4849,0.022077083743944955
11,0.13084020499809412,7971991862.331055,103752340798.88899,121655687757.3002,5134292124900.0,4817,0.02214203888860012
11,0.13084020499809412,7948880685.402008,103152548308.9598,121527478704.23186,5141118854700.0,4840,0.022092194564806947
11,0.13084020499809412,7923357791.6020355,102492177070.86377,122025195161.18048,5169639972300.0,4854,0.022071524899404928
11,0.13084020499809412,7970251828.784454,103707122350.39696,121992003048.64157,5107146863100.0,4740,0.022325919789713423
11,0.13084020499809412,7935127319.337341,102796435796.09718,121026858460.85878,5087554014000.0,4779,0.022229096896133994
11,0.13084020499809412,7954699638.180466,103303401558.97615,120040580084.0835,5015887293900.0,4722,0.022346172048605374
11,0.13084020499809412,7958541631.374573,103403063327.05615,119916934409.83772,5086601793600.0,4866,0.022010449671788744
11,0.13084020499809412,7941257274.591553,102955081493.00436,123252975697.89285,5209809262500.0,4832,0.02213357775942211
